month,program,monthly_budget,google_spend_pct,google_spend,meta_spend_pct,meta_spend,monthly_budget_share_of_program,target_enrollments,target_demos,target_appointments,target_leads,blended_lead_to_enroll_rate
Jan 26,SPRINT (Certification) - AHS,0,0.5,0,0.5,0,0,0,0,0,0,0.00625
Feb 26,SPRINT (Certification) - AHS,0,0.5,0,0.5,0,0,0,0,0,0,0.00625
Mar 26,SPRINT (Certification) - AHS,792000,0.5,396000,0.5,396000,0.1,36.455,121.5167,303.7917,5832.8,0.00625
Apr 26,SPRINT (Certification) - AHS,1188000,0.45,534600,0.55,653400,0.15,54.6825,182.275,455.6875,8927.7551,0.006125
May 26,SPRINT (Certification) - AHS,1267200,0.4,506880,0.6,760320,0.16,58.328,194.4267,486.0667,9721.3333,0.006
Jun 26,SPRINT (Certification) - AHS,1584000,0.4,633600,0.6,950400,0.2,72.91,243.0333,607.5833,12151.6667,0.006
Jul 26,SPRINT (Certification) - AHS,1188000,0.5,594000,0.5,594000,0.15,54.6825,182.275,455.6875,8749.2,0.00625
Aug 26,SPRINT (Certification) - AHS,792000,0.55,435600,0.45,356400,0.1,36.455,121.5167,303.7917,5718.4314,0.006375
Sep 26,SPRINT (Certification) - AHS,554400,0.6,332640,0.4,221760,0.07,25.5185,85.0617,212.6542,3925.9231,0.0065
Oct 26,SPRINT (Certification) - AHS,554400,0.6,332640,0.4,221760,0.07,25.5185,85.0617,212.6542,3925.9231,0.0065
Jan 26,EDGE (BSC) - AHS + Hospitality,0,0.5,0,0.5,0,0,0,0,0,0,0.00625
Feb 26,EDGE (BSC) - AHS + Hospitality,0,0.5,0,0.5,0,0,0,0,0,0,0.00625
Mar 26,EDGE (BSC) - AHS + Hospitality,2019600,0.5,1009800,0.5,1009800,0.04,27.324,91.08,227.7,4371.84,0.00625
Apr 26,EDGE (BSC) - AHS + Hospitality,5049000,0.45,2272050,0.55,2776950,0.1,68.31,227.7,569.25,11152.6531,0.006125
May 26,EDGE (BSC) - AHS + Hospitality,11107800,0.4,4443120,0.6,6664680,0.22,150.282,500.94,1252.35,25047,0.006
Jun 26,EDGE (BSC) - AHS + Hospitality,16156800,0.4,6462720,0.6,9694080,0.32,218.592,728.64,1821.6,36432,0.006
Jul 26,EDGE (BSC) - AHS + Hospitality,10098000,0.5,5049000,0.5,5049000,0.2,136.62,455.4,1138.5,21859.2,0.00625
Aug 26,EDGE (BSC) - AHS + Hospitality,3534300,0.55,1943865,0.45,1590435,0.07,47.817,159.39,398.475,7500.7059,0.006375
Sep 26,EDGE (BSC) - AHS + Hospitality,1514700,0.6,908820,0.4,605880,0.03,20.493,68.31,170.775,3152.7692,0.0065
Oct 26,EDGE (BSC) - AHS + Hospitality,1009800,0.6,605880,0.4,403920,0.02,13.662,45.54,113.85,2101.8462,0.0065
Jan 26,SPRINT (Certification) - Hospitality,0,0.5,0,0.5,0,0,0,0,0,0,0.00625
Feb 26,SPRINT (Certification) - Hospitality,0,0.5,0,0.5,0,0,0,0,0,0,0.00625
Mar 26,SPRINT (Certification) - Hospitality,1126125,0.5,563062.5,0.5,563062.5,0.1,37.03,123.4333,308.5833,5924.8,0.00625
Apr 26,SPRINT (Certification) - Hospitality,1351350,0.45,608107.5,0.55,743242.5,0.12,44.436,148.12,370.3,7254.8571,0.006125
May 26,SPRINT (Certification) - Hospitality,1801800,0.4,720720,0.6,1081080,0.16,59.248,197.4933,493.7333,9874.6667,0.006
Jun 26,SPRINT (Certification) - Hospitality,2477475,0.4,990990,0.6,1486485,0.22,81.466,271.5533,678.8833,13577.6667,0.006
Jul 26,SPRINT (Certification) - Hospitality,1801800,0.5,900900,0.5,900900,0.16,59.248,197.4933,493.7333,9479.68,0.00625
Aug 26,SPRINT (Certification) - Hospitality,1126125,0.55,619368.75,0.45,506756.25,0.1,37.03,123.4333,308.5833,5808.6275,0.006375
Sep 26,SPRINT (Certification) - Hospitality,900900,0.6,540540,0.4,360360,0.08,29.624,98.7467,246.8667,4557.5385,0.0065
Oct 26,SPRINT (Certification) - Hospitality,675675,0.6,405405,0.4,270270,0.06,22.218,74.06,185.15,3418.1538,0.0065
Jan 26,SMART (BVOC) - Hospitality,0,0.5,0,0.5,0,0,0,0,0,0,0.00625
Feb 26,SMART (BVOC) - Hospitality,0,0.5,0,0.5,0,0,0,0,0,0,0.00625
Mar 26,SMART (BVOC) - Hospitality,1716000,0.5,858000,0.5,858000,0.1,26.335,87.7833,219.4583,4213.6,0.00625
Apr 26,SMART (BVOC) - Hospitality,2059200,0.45,926640,0.55,1132560,0.12,31.602,105.34,263.35,5159.5102,0.006125
May 26,SMART (BVOC) - Hospitality,2745600,0.4,1098240,0.6,1647360,0.16,42.136,140.4533,351.1333,7022.6667,0.006
Jun 26,SMART (BVOC) - Hospitality,3775200,0.4,1510080,0.6,2265120,0.22,57.937,193.1233,482.8083,9656.1667,0.006
Jul 26,SMART (BVOC) - Hospitality,2745600,0.5,1372800,0.5,1372800,0.16,42.136,140.4533,351.1333,6741.76,0.00625
Aug 26,SMART (BVOC) - Hospitality,1716000,0.55,943800,0.45,772200,0.1,26.335,87.7833,219.4583,4130.9804,0.006375
Sep 26,SMART (BVOC) - Hospitality,1372800,0.6,823680,0.4,549120,0.08,21.068,70.2267,175.5667,3241.2308,0.0065
Oct 26,SMART (BVOC) - Hospitality,1029600,0.6,617760,0.4,411840,0.06,15.801,52.67,131.675,2430.9231,0.0065
Jan 26,ASCEND,0,0.5,0,0.5,0,0,0,0,0,0,0.00625
Feb 26,ASCEND,0,0.5,0,0.5,0,0,0,0,0,0,0.00625
Mar 26,ASCEND,237600,0.5,118800,0.5,118800,0.04,3.634,12.1133,30.2833,581.44,0.00625
Apr 26,ASCEND,594000,0.45,267300,0.55,326700,0.1,9.085,30.2833,75.7083,1483.2653,0.006125
May 26,ASCEND,1306800,0.4,522720,0.6,784080,0.22,19.987,66.6233,166.5583,3331.1667,0.006
Jun 26,ASCEND,1900800,0.4,760320,0.6,1140480,0.32,29.072,96.9067,242.2667,4845.3333,0.006
Jul 26,ASCEND,1188000,0.5,594000,0.5,594000,0.2,18.17,60.5667,151.4167,2907.2,0.00625
Aug 26,ASCEND,415800,0.55,228690,0.45,187110,0.07,6.3595,21.1983,52.9958,997.5686,0.006375
Sep 26,ASCEND,178200,0.6,106920,0.4,71280,0.03,2.7255,9.085,22.7125,419.3077,0.0065
Oct 26,ASCEND,118800,0.6,71280,0.4,47520,0.02,1.817,6.0567,15.1417,279.5385,0.0065
Jan 26,Residential Campus,0,0.5,0,0.5,0,0,0,0,0,0,0.00625
Feb 26,Residential Campus,0,0.5,0,0.5,0,0,0,0,0,0,0.00625
Mar 26,Residential Campus,2250000,0.5,1125000,0.5,1125000,0.1,34.5,115,287.5,5520,0.00625
Apr 26,Residential Campus,2700000,0.45,1215000,0.55,1485000,0.12,41.4,138,345,6759.1837,0.006125
May 26,Residential Campus,3600000,0.4,1440000,0.6,2160000,0.16,55.2,184,460,9200,0.006
Jun 26,Residential Campus,4950000,0.4,1980000,0.6,2970000,0.22,75.9,253,632.5,12650,0.006
Jul 26,Residential Campus,3600000,0.5,1800000,0.5,1800000,0.16,55.2,184,460,8832,0.00625
Aug 26,Residential Campus,2250000,0.55,1237500,0.45,1012500,0.1,34.5,115,287.5,5411.7647,0.006375
Sep 26,Residential Campus,1800000,0.6,1080000,0.4,720000,0.08,27.6,92,230,4246.1538,0.0065
Oct 26,Residential Campus,1350000,0.6,810000,0.4,540000,0.06,20.7,69,172.5,3184.6154,0.0065
